,OBJECTID,DOCUMENT_NBR,CRASH_REPORT_LINK,CRASH_YR,CRASH_MONTH_YEAR,DISTRICT_NBR,NLFID,NLF_JUR_CD,NLF_COUNTY_CD,COUNTY_LOG_NBR,ODOT_LATITUDE_NBR,ODOT_LONGITUDE_NBR,ODOT_FIPS_CD,AREA_CODE,CRASH_DATE,CRASH_SEVERITY_CD,CRASH_TYPE_CD,DAY_IN_WEEK_CD,DISTRACTED_DRIVER_IND,FACILITY_TYPE_CD,FHWA_RDWY_DEPARTURE_IND,FREEWAY_IND,FUNCTIONAL_CLASS_CD,HOUR_OF_CRASH,INCAPAC_INJURIES_NBR,INTERCHANGE_ID,INTERSECTION_ID_CURRENT,INTERSECTION_LEG_ID,INTERSTATE_IND,INV_LOG_NBR,INV_NLFID,IS_COMMERCIAL_RELATED,LIGHT_COND_PRIMARY_CD,LOCAL_REPORT_NUMBER_ID,MAINTENANCE_AUTHORITY_CD,MONTH_OF_CRASH,NHS_CD,NO_INJURY_REPORTED_NBR,NON_INCAPAC_INJURIES_NBR,NUMBER_OF_UNITS_NBR,ODOT_CITY_VILLAGE_TWP_NME,ODOT_CRASH_LOCATION_CD,ODOT_DIR_FROM_REF_CD,ODOT_DIV_UNDIV_IND,ODOT_INTERSECTION_REL_IND,ODOT_LANES_NBR,ODOT_MAINTAINED_HWY_IND,ODOT_MILES_FROM_REF_NBR,ODOT_REF_ROUTE_PREFIX_CD,ODOT_YOUNG_DRIVER_IND,ODPS_ADDRESS_REFERENCE,ODPS_ALCOHOL_IND,ODPS_CITY_VILLAGE_TWP_NME,ODPS_DRUG_IND,ODPS_LOC_DIR_SUFFIX_CD,ODPS_LOC_IN_WORK_ZONE_CD,ODPS_LOC_ROAD_DIRECTION_CD,ODPS_LOC_ROAD_NME,ODPS_LOC_ROAD_SUFFIX_CD,ODPS_LOC_ROUTE_ID,ODPS_LOC_ROUTE_PREFIX_CD,ODPS_LOC_ROUTE_SUFFIX_CD,ODPS_MILEPOST_REFERENCE,ODPS_MOTORCYCLE_IND,ODPS_REF_DIR_SUFFIX_CD,ODPS_REF_DIRECTION_CD,ODPS_REF_GIVEN,ODPS_REF_POINT_USED_CD,ODPS_REF_ROUTE_ID,ODPS_REF_ROUTE_PREFIX_CD,ODPS_REF_ROUTE_SUFFIX_CD,ODPS_REF_SUFFIX_CD,ODPS_SCHOOL_ZONE_IND,ODPS_SENIOR_DRIVER_IND,ODPS_SPEED_IND,ODPS_TOTAL_FATALITIES_NBR,ODPS_TYPE_OF_WORK_ZONE_CD,ODPS_WORK_ZONE_IND,OPER_ACCESS_CONTROL_CD,POSSIBLE_INJURIES_NBR,ROAD_COND_PRIMARY_CD,ROAD_CONTOUR_CD,SA_RAMP_ID,SA_SEGMENT_ID,SECONDARY_CRASH,STATE_TRUE_LOG_NBR,U1_AGE_NBR,U1_AT_FAULT_IND,U1_CONT_CIR_PRIMARY_CD,U1_DIRECTION_FROM_CD,U1_DIRECTION_TO_CD,U1_DISTRACTED_BY_1_CD,U1_GENDER_CD,U1_IS_ALCOHOL_SUSPECTED,U1_IS_MARIJUANA_SUSPECTED,U1_IS_OTHER_DRUG_SUSPECTED,U1_NON_MOTORIST_LOC_CD,U1_NUMBER_OF_THRU_LANES,U1_OBJECT_STRUCK,U1_ODPS_UNIT_NBR,U1_OPERATINGIN_AUTONOMOUS_MODE,U1_POSTED_SPEED_NBR,U1_PRECRASH_ACTION_CD,U1_SEQ_OF_EVENTS_1_CD,U1_SEQ_OF_EVENTS_2_CD,U1_SEQ_OF_EVENTS_3_CD,U1_SEQ_OF_EVENTS_4_CD,U1_SEQ_OF_EVENTS_5_CD,U1_SEQ_OF_EVENTS_6_CD,U1_SPECIAL_FUNCTION_CD,U1_TRAFFIC_CONTROL_CD,U1_TURN_CD,U1_TYPE_OF_UNIT_CD,U1_UNIT_SPEED_NBR,U2_AGE_NBR,U2_CONT_CIR_PRIMARY_CD,U2_DIRECTION_FROM_CD,U2_DIRECTION_TO_CD,U2_DISTRACTED_BY_1_CD,U2_GENDER_CD,U2_NON_MOTORIST_LOC_CD,U2_ODPS_UNIT_NBR,U2_POSTED_SPEED_NBR,U2_PRECRASH_ACTION_CD,U2_SEQ_OF_EVENTS_1_CD,U2_SEQ_OF_EVENTS_2_CD,U2_SEQ_OF_EVENTS_3_CD,U2_SEQ_OF_EVENTS_4_CD,U2_SEQ_OF_EVENTS_5_CD,U2_SEQ_OF_EVENTS_6_CD,U2_SPECIAL_FUNCTION_CD,U2_TRAFFIC_CONTROL_CD,U2_TURN_CD,U2_TYPE_OF_UNIT_CD,U2_UNIT_SPEED_NBR,U3_CONT_CIR_PRIMARY_CD,U3_ODPS_UNIT_NBR,U3_PRECRASH_ACTION_CD,U3_SEQ_OF_EVENTS_1_CD,U3_SEQ_OF_EVENTS_2_CD,U3_SEQ_OF_EVENTS_3_CD,U3_SEQ_OF_EVENTS_4_CD,U3_SEQ_OF_EVENTS_5_CD,U3_SEQ_OF_EVENTS_6_CD,U3_SPECIAL_FUNCTION_CD,U3_TRAFFIC_CONTROL_CD,U3_TYPE_OF_UNIT_CD,UNRESTRAIN_OCCUPANTS,WEATHER_COND_CD,V1,Filter,fileNames,Narrative,clean_Narrative
981,203120230,20203120230,https://hsip.dot.state.oh.us/api/report/20203120230,2020,7/1/2020 0:00,12,SLAKSR00084**C,S,LAK,12.476,41.66116,-81.304596,49056,17668.0,7/25/2020 0:00,Minor injury suspected,Pedalcycles,7,N,Two-way roadway,N,N,Minor arterial roads,10,0,,cbd578aa-2198-4c19-a98c-8973f7f10398,e9686df1-04d6-4142-a89b-b51f9fcfaa19,N,12.476,SLAKSR00084**C,N,Daylight,2020-00021394,4,7,,1,1,3,MENTOR,Four-way intersection,,N,Y,2.0,N,0.0,MR,N,,N,MENTOR,N,,,,JOHNNYCAKE RIDGE,RD,84,SR,,,N,,,KING MEMORIAL,1,,,,RD,N,N,N,0,,N,3.0,1,Dry,Straight level,,140126.0,N,15.326,50,Y,Improper turn,East,North,,M,N,N,N,Data not valid or not provided,2,Nothing struck,1,0,35,Making righturn,Pedalcycle,Pedalcycle,,,,,None,Signal,Right turn,Sport utility vehicle,5,36.0,1,3.0,4.0,1.0,M,5.0,2,35.0,99.0,20,,,,,,1.0,2.0,NT,26,18.0,1.0,3.0,99.0,20.0,,,,,,1.0,2.0,26.0,0,Clear,15034.0,Non_WZ_Non_CMV,2020/pdf/203120230,"unit 01 was traveling w/b on sr 84 (johnnycake ridge rd), slowing at the intersection with king memorial dr on a green traffic signal, intending to turn right (n/b) onto king memorial rd. unit 02 and unit 03 were traveling w/b on sr 84, single file with unit 03 behind unit 02, on the right edge of the travel lane, approaching the intersection of king memorial rd with a green traffic signal. unit 01 improperly turned onto king memorial, failing to ensure such action could be done safely, pulling in front of unit 02 and unit 03. unit 02 then struck the right side of unit 01, followed by unit 03 striking the right side of unit 01.", intend single file improperly ensure action safely follow 
982,203220529,20203220529,https://hsip.dot.state.oh.us/api/report/20203220529,2020,7/1/2020 0:00,12,SCUYUS00020**C,S,CUY,7.622,41.463944,-81.845734,68056,17668.0,7/20/2020 0:00,Property damage only,Pedalcycles,2,N,Two-way roadway,N,N,Minor arterial roads,12,0,,,,N,7.622,SCUYUS00020**C,N,Daylight,202000767,4,7,,2,0,2,ROCKY RIVER,Driveway/alley access,,N,N,4.0,N,0.0,,N,20333,N,ROCKY RIVER,N,,,,CENTER RIDGE,RD,20,,,,N,,,,3,,,,,N,Y,N,0,,N,3.0,0,Dry,Straight level,,262471.0,N,179.178,43,Y,Failure to yield,South,East,,M,N,N,N,Data not valid or not provided,1,Nothing struck,1,2,10,Making righturn,Pedalcycle,,,,,,None,No control,Right turn,Sport utility vehicle,3,68.0,1,3.0,4.0,1.0,M,8.0,2,,1.0,20,,,,,,,6.0,NT,26,,,,,,,,,,,,,,0,Cloudy,16215.0,Non_WZ_Non_CMV,2020/pdf/203220529,"unit #1 was pulling out of 20333 center ridge onto center ridge and struck unit #2 as it traveled west on the sidewalk. no damage to bicycle, operator refused to be seen by medical personnel.", center center refuse see personnel 
983,203120557,20203120557,https://hsip.dot.state.oh.us/api/report/20203120557,2020,7/1/2020 0:00,4,SSUMSR00303**C,S,SUM,13.07,41.239975,-81.443121,36651,17668.0,7/25/2020 0:00,Minor injury suspected,Pedalcycles,7,N,Two-way roadway,N,N,Minor arterial roads,11,0,,,,N,13.07,SSUMSR00303**C,N,Daylight,20201326,4,7,,1,1,2,HUDSON,Four-way intersection,,N,Y,2.0,N,0.0,SR,N,,N,HUDSON,N,,,,LIBRARY,ST,,,,,N,,E,STREETSBORO,1,303,SR,,ST,N,Y,N,0,,N,3.0,0,Dry,Straight level,,194724.0,N,51.054,66,Y,Other improper action,North,,,M,N,N,N,Data not valid or not provided,1,Nothing struck,1,2,25,Making righturn,Pedalcycle,,,,,,None,Signal,Right turn,Sport utility vehicle,5,72.0,1,4.0,3.0,1.0,F,1.0,2,10.0,1.0,15,,,,,,1.0,2.0,NT,26,2.0,,,,,,,,,,,,,0,Clear,16576.0,Non_WZ_Non_CMV,2020/pdf/203120557,unit #1 was stopped at the light on library street when he stated that the cross walk light was blinking caution. he began to inch out to make a right hand turn when in he entered the crosswalk and struck unit #2 who was riding a pink bicycle. unit #2 stated that she had the white cross walk sign signaling to go. unit #2 had a small cut and bruise on her shin. she refused medical attention. she later came to the station to file a report. i was able to get in contact with unit #1 via the phone., library walk blink caution inch pink walk cut bruise shin refuse later station file able contact phone 
984,203145527,20203145527,https://hsip.dot.state.oh.us/api/report/20203145527,2020,8/1/2020 0:00,1,MALLMR00673**C,M,ALL,2.716,40.738595,-84.105008,43554,49852.0,8/29/2020 0:00,Injury possible,Pedalcycles,7,N,Two-way roadway,N,N,Minor collector roads,20,0,,ece41bc9-3c45-4f7a-aed1-6a5023baafeb,07bd0434-2e14-47cb-91c4-9235aadfb3dd,N,2.716,MALLMR00673**C,N,Dark - lighted roadway,20-023867,4,8,,1,0,2,LIMA,Four-way intersection,E,N,Y,2.0,N,0.001,MR,N,,N,LIMA,N,,,W,Spring,ST,,,,,N,,S,Main,1,,,,ST,N,Y,N,0,,N,,1,Dry,Straight level,,98560.0,N,2.716,13,Y,Ran red light,North,South,,M,N,N,N,Intersection ? marked crosswalk,2,Nothing struck,2,2,25,Straight ahead,Motor vehicle in transport,,,,,,None,Signal,No turn,Bicycle,5,71.0,1,3.0,4.0,1.0,M,,1,25.0,1.0,15,,,,,,1.0,2.0,NT,3,5.0,,,,,,,,,,,,,0,Clear,16975.0,Non_WZ_Non_CMV,2020/pdf/203145527,"unit 1 (vehicle) was traveling w/b on spring street at the intersection of main, after the light turned green. unit 2 (bike) traveled s/b on main street, in the crosswalk, but did not have the right of way. unit 1 collided with unit 2 causing a possible injury collision. unit 2's grandmother, nancy smith took possession of unit 2's bicycle.",  possible grandmother smith take possession 
986,203093089,20203093089,https://hsip.dot.state.oh.us/api/report/20203093089,2020,6/1/2020 0:00,8,CHAMCR00607**C,C,HAM,0.17,39.164791,-84.511672,15000,16885.0,6/7/2020 0:00,Injury possible,Pedalcycles,1,N,,N,N,Minor arterial roads,8,0,,63a26b1d-b884-4831-ad89-2b0841292f66,7dc5c018-aa7f-4f4b-a174-725cf1c327b5,N,0.17,CHAMCR00607**C,N,Daylight,205005893,4,6,,1,0,2,CINCINNATI,Four-way intersection,,N,Y,6.0,N,0.0,,N,239,N,CINCINNATI,N,,,W,MITCHELL,AVE,,,,,N,,,239TH,3,,,,,N,N,N,0,,N,,1,Dry,Straight level,,104419.0,N,0.17,40,N,None,West,South,,F,N,N,N,Data not valid or not provided,4,Nothing struck,1,2,25,Making righturn,Pedalcycle,,,,,,None,Signal,Right turn,Sport utility vehicle,17,51.0,1,1.0,2.0,1.0,M,3.0,2,,1.0,20,,,,,,,2.0,NT,26,,,,,,,,,,,,,,0,Clear,18242.0,Non_WZ_Non_CMV,2020/pdf/203093089,unit #2 and witness were traveling southbound at 239 w. mitchell av when unit #1 turned southbound from kenard av. unit #1 struck unit #2. unit #1 stated that she saw the witness but did not see unit #2. unit #2 was following the witness and both were on bicycles. unit #2 was almost completely through the intersection when he was struck by unit #1. unable to determine fault due to conflicting stories. both said that they had a green light., kenard see follow completely unable determine fault conflicting story say 
990,203101440,20203101440,https://hsip.dot.state.oh.us/api/report/20203101440,2020,6/1/2020 0:00,6,CFRACR00340**C,C,FRA,1.127,39.913375,-82.842694,18000,19234.0,6/15/2020 0:00,Property damage only,Pedalcycles,2,N,,N,N,Major collector roads,19,0,,,,N,1.127,CFRACR00340**C,N,Daylight,200434617,4,6,,3,0,3,COLUMBUS,T-intersection,,N,Y,2.0,N,0.0,,Y,,N,COLUMBUS,N,,,,Earnings,DR,,,,,N,,,Bonus,1,,,,DR,N,N,N,0,,N,,0,Dry,Straight level,,28586.0,N,1.127,16,Y,Failure to yield,West,East,,M,N,N,N,Intersection ? other,2,Nothing struck,1,2,25,Straight ahead,Motor vehicle in transport,,,,,,None,No control,No turn,Bicycle,10,27.0,1,2.0,1.0,1.0,F,,2,25.0,1.0,20,15.0,,,,,1.0,6.0,NT,3,23.0,1.0,3.0,12.0,15.0,,,,,,1.0,6.0,2.0,0,Clear,23205.0,Non_WZ_Non_CMV,2020/pdf/203101440,unit #1 (bicycle) was traveling eastbound on earnings drive toward the intersection on bonus drive. unit #2 was traveling northbound on bonus drive at the intersection of earnings drive. unit #3 was parked on bonus drive south of earnings drive intersection. unit #1 drove through the intersection and collided with unit #2 and unit #3. cfd medic15 responded and treated juvenile bicycle rider at the scene., earning bonus bonus earning bonus earning medic juvenile 
991,203102041,20203102041,https://hsip.dot.state.oh.us/api/report/20203102041,2020,6/1/2020 0:00,6,MFRAMR00178A*C,M,FRA,0.308,40.003966,-82.954263,18000,19234.0,6/27/2020 0:00,Minor injury suspected,Pedalcycles,7,N,,N,N,Local roads,17,0,,907d14e0-8c42-414c-a1cb-3759c827a6ef,b2c992b9-f5d3-4e59-8b99-517c1ac42500,N,0.308,MFRAMR00178A*C,N,Daylight,200468884,4,6,,3,1,2,COLUMBUS,Not an intersection,N,N,N,2.0,N,0.005,MR,N,,N,COLUMBUS,N,,,,Woodland,AVE,,,,,N,,,Argyle,1,,,,DR,N,N,N,0,,N,,0,Dry,Straight level,,58068.0,N,0.308,37,Y,Other improper action,North,South,,F,N,N,N,Data not valid or not provided,2,Utility pole,1,2,0,Overtaking/passing,Pedalcycle,Ran off road left,Utility pole,,,,None,No control,No turn,Sport utility vehicle,0,,1,9.0,9.0,,,99.0,2,,12.0,20,,,,,,1.0,6.0,NT,26,,,,,,,,,,,,,,0,Cloudy,23628.0,Non_WZ_Non_CMV,2020/pdf/203102041,"unit #1 was driving southbound on woodland avenue just north of argyle drive when driver #1 stated that she attempted to pass unit #2, striking him with the passenger side mirror then causing her to crash into columbus city electric pole #162619. unit #2, a bicycle, was traveling an unknown direction on woodland avenue when he stated that he was struck by the vehicle. witness #1 stated that unit #2 was going east across woodland avenue when unit #1 struck him. unit #2 operator was transported to grant medical hospital for a head injury. unit #2 driver was treated by the er staff for a possible head injury. unit #1 driver was cited for having an expired license and for failure to control her vehicle. the vehicle was impounded and transported to the cpd impound lot.", woodland argyle mirror electric unknown woodland go woodland staff possible having expire license failure impound cpd impound 
992,203128214,20203128214,https://hsip.dot.state.oh.us/api/report/20203128214,2020,8/1/2020 0:00,6,MFRAMR00613**C,M,FRA,0.799,40.008846,-82.970375,18000,19234.0,8/7/2020 0:00,Minor injury suspected,Pedalcycles,6,N,,N,N,Local roads,16,0,,acd4c6b4-305c-4044-bf03-2485ed7aea1a,fe131f1e-3871-4c3d-a5ba-b658b1ce23a5,N,0.799,MFRAMR00613**C,N,Daylight,200587762,4,8,,1,1,2,COLUMBUS,Not an intersection,W,N,N,2.0,N,0.019,SR,N,,N,COLUMBUS,N,,,,Duxberry,AVE,,,,,N,,,Cleveland,1,,,,AVE,N,N,Y,0,,N,,0,Dry,Straight level,,98237.0,N,0.799,0,Y,Following too close/acda,West,East,Other / unknown,U,N,N,N,Data not valid or not provided,1,Nothing struck,1,0,25,Straight ahead,Pedalcycle,,,,,,None,No control,No turn,Sport utility vehicle,35,54.0,1,4.0,3.0,1.0,M,99.0,2,25.0,1.0,20,,,,,,1.0,6.0,NT,26,10.0,,,,,,,,,,,,,0,Clear,23775.0,Non_WZ_Non_CMV,2020/pdf/203128214,"unit 1 was driving east on duxberry ave west of the cleveland ave intersection near the unnamed alley that runs north/south. unit 2, a bicycle, was driving east bound on duxberry ave west of the cleveland ave intersection also near the unnamed alley. unit 1 failed to slow down and struck unit 2. the driver of unit 1 then fled the area northbound in the unnamed alley. the bicyclist was transported to grant hospital by cfd medic 18 where he was treated by dr. jiang for a possible broken leg. at the same time witness contacted police and stated that she was following her stolen vehicle and provided the listed vehicle information for unit 1. witness stated that she watched the unknown driver of her stolen vehicle strike someone on a bicycle.", duxberry near unnamed duxberry near unnamed fled unnamed medic possible broken leg contact follow steal provide list watch unknown steal 
993,203103098,20203103098,https://hsip.dot.state.oh.us/api/report/20203103098,2020,6/1/2020 0:00,6,MFRAMR00640**C,M,FRA,0.737,39.994175,-82.993206,18000,19234.0,6/29/2020 0:00,Minor injury suspected,Pedalcycles,2,N,,N,N,Minor arterial roads,0,0,,b75dc76c-adab-481f-b49b-a11bb6b96d58,01c9be8f-e7db-4d4d-ad74-bac80a7d592b,N,0.737,MFRAMR00640**C,N,Dark - lighted roadway,200473008,4,6,,1,1,2,COLUMBUS,Not an intersection,W,N,Y,4.0,N,0.009,MR,N,,N,COLUMBUS,N,,,E,11th,AVE,,,,,N,,,Daugherty,1,,,,AVE,N,N,N,0,,N,,0,Wet,Straight level,,105457.0,N,0.737,0,Y,Following too close/acda,East,West,Other / unknown,U,N,N,N,Data not valid or not provided,4,Nothing struck,1,2,35,Straight ahead,Pedalcycle,,,,,,None,Stop sign,No turn,Sport utility vehicle,35,28.0,1,,,1.0,M,5.0,2,,1.0,20,,,,,,1.0,6.0,NT,26,,,,,,,,,,,,,,0,Clear,24718.0,Non_WZ_Non_CMV,2020/pdf/203103098,"witness was behind unit 1, traveling westbound on e. 11th ave. in the right lane, just west of daugherty ave. witness stated unit 1 struck unit 2, from behind. witness stated unit 2, who was on a bicycle, was also traveling westbound on e. 11th ave. in the right lane, just west of daugherty ave. witness stated that unit 1 was a black land rover, that fled the scene, traveling westbound on e. 11th ave. unit 2 suffered minor injuries and was transported to osu main hospital in stable condition by cfd medic 7. cpd helicopter unit circulated the area, but was unable to locate any vehicles matching the description given by the witness.",   rover suffer osu stable medic cpd helicopter circulate unable locate match description give 
995,203103234,20203103234,https://hsip.dot.state.oh.us/api/report/20203103234,2020,6/1/2020 0:00,6,SFRASR00315*CC,S,FRA,0.16,39.973861,-83.01044,18000,19234.0,6/29/2020 0:00,Injury possible,Pedalcycles,2,N,Two-way roadway,N,N,Minor arterial roads,14,0,,88a4c0c9-56a8-49bb-a58b-2892b056f687,f957c695-0961-4f57-9732-e3dcdf1342ae,N,0.16,SFRASR00315*CC,N,Daylight,200474211,4,6,,2,0,2,COLUMBUS,Not an intersection,S,N,N,3.0,N,0.017,MR,N,,N,COLUMBUS,N,,,,Neil,AVE,,,,,N,,W,Goodale,1,,,,ST,N,N,N,0,,N,3.0,1,Dry,Straight level,,148699.0,N,0.16,53,Y,Improper passing,South,North,,F,N,N,N,Data not valid or not provided,2,Nothing struck,1,0,35,Overtaking/passing,Pedalcycle,,,,,,None,No control,No turn,Sport utility vehicle,25,31.0,1,2.0,1.0,1.0,F,6.0,2,35.0,1.0,20,,,,,,1.0,6.0,NT,26,5.0,,,,,,,,,,,,,0,Cloudy,24876.0,Non_WZ_Non_CMV,2020/pdf/203103234,"on 6-29-2020, unit 2 stated she was riding her bicycle northbound on neil ave approaching w. goodale st in the furthest right hand lane. the right hand lane is a shared vehicle/bicycle lane. unit 2 stated while she was riding her bicycle, she was hit by the driver of unit 1 on the side of her bicycle which cause her to fall off her bike. unit 2 stated her back and arm hurt and she was transported to osu main hospital in stable condition via columbus fire medic 25. the driver of unit 1 stated she was also heading northbound on neil ave. the driver of unit 1 stated she did not see unit 2 when she hit her. reporting officer found unit 2 was struck by unit 1â¿â¿â¿s right side passenger mirror. the driver of unit 1 was found at fault and issued a citation. .", goodale furth share fall arm osu stable fire medic head find â¿â¿â¿s mirror find fault issue 
996,203104766,20203104766,https://hsip.dot.state.oh.us/api/report/20203104766,2020,6/1/2020 0:00,8,MHAMMR03949**C,M,HAM,0.274,39.231864,-84.359086,51716,16885.0,6/26/2020 0:00,Minor injury suspected,Pedalcycles,6,N,,N,N,Local roads,10,0,,87cc9747-788d-41d5-b9b2-c2ef0cc4cf84,b5ccfa63-2ad6-408a-ad2e-89027083ebf2,N,0.274,MHAMMR03949**C,N,Daylight,202002424,4,6,,1,1,2,MONTGOMERY,Not an intersection,,N,N,2.0,N,0.0,,Y,9684,N,MONTGOMERY,N,,,,ZIG ZAG,RD,,,,,N,,,,3,,,,,N,N,N,0,,N,,0,Dry,Straight grade,,322355.0,N,0.274,19,Y,Improper lane change,South,North,,M,N,N,N,Travel lane ? other location,2,Nothing struck,1,2,0,Changing lanes,Motor vehicle in transport,,,,,,None,No control,No turn,Bicycle,8,51.0,1,2.0,1.0,1.0,F,,2,,4.0,15,,,,,,1.0,6.0,NT,3,10.0,,,,,,,,,,,,,0,Clear,25995.0,Non_WZ_Non_CMV,2020/pdf/203104766,"unit 1, a bicyclist was traveling north on zig zag road as far right as practicable. unit 2 was traveling north on zig zag and was passing unit 1 near 9468 zig zag when unit 1 was ridden to the left to access the multi use path on the opposite side of the road and struck unit 2.", zag far practicable zag near zag ridden access multi use path opposite 
1010,203125397,20203125397,https://hsip.dot.state.oh.us/api/report/20203125397,2020,8/1/2020 0:00,8,CHAMCR00704**C,C,HAM,2.205,39.237557,-84.391575,7300,16885.0,8/3/2020 0:00,Property damage only,Pedalcycles,2,N,,N,N,Major collector roads,15,0,,e7766b61-dc26-412a-a3e3-b14e527304fe,53a115bc-3250-4865-b533-aa8984e2f665,N,2.205,CHAMCR00704**C,N,Daylight,2.02E+12,4,8,,2,0,2,BLUE ASH,5 or more point intersection,,N,Y,2.0,N,0.0,,N,9800,N,BLUE ASH,N,,,,Reed Hartman Hwy,HWY,,,,,N,,,9800TH,3,,,,,N,N,N,0,,N,,0,Dry,Straight grade,,42331.0,N,2.205,54,Y,Failure to yield,South,,,M,N,N,N,Data not valid or not provided,2,Nothing struck,1,0,40,Making leftturn,Pedalcycle,,,,,,None,Signal,Left turn,Sport utility vehicle,10,13.0,1,1.0,2.0,1.0,M,1.0,2,40.0,20.0,15,,,,,,,2.0,NT,26,,,,,,,,,,,,,,0,Clear,34429.0,Non_WZ_Non_CMV,2020/pdf/203125397,"unit 1 was in the left turn lane traveling northbound reed hartman hwy at the cooper rd. intersection. unit 2 was cycling through the crosswalk southbound on reed hartman hwy at the same intersection. unit 1 was turning left on cooper rd. and struck unit 2. an independent witness reported the cyclist had the right of way to cross the intersection as unit 1 proceeded to turn left onto cooper rd. unit 2 was evaluated by blue ash medics, refused treatment, and released to a parent.", cycling independent proceed evaluate medic refuse parent 
1013,203125647,20203125647,https://hsip.dot.state.oh.us/api/report/20203125647,2020,8/1/2020 0:00,2,MLUCMR01702**C,M,LUC,0.159,41.682029,-83.550271,77000,87868.0,8/3/2020 0:00,Minor injury suspected,Pedalcycles,2,N,,N,N,Local roads,16,0,,4753464a-3f10-4e40-91cd-ba8f6354c421,35d4190e-27e7-46a5-adad-013002cc2034,N,0.159,MLUCMR01702**C,N,Daylight,2.00803E+13,4,8,,1,1,2,TOLEDO,T-intersection,N,N,Y,2.0,N,0.019,MR,N,,N,TOLEDO,N,,,W,OAKLAND,ST,,,,,N,,,BLANCHARD,1,,,,ST,N,N,N,0,,N,,0,Dry,Straight level,,72738.0,N,0.159,7,Y,Failure to yield,West,East,,F,N,N,N,Intersection ? unmarked crosswalk,2,Nothing struck,2,2,25,Straight ahead,Pedalcycle,,,,,,None,No control,No turn,Bicycle,0,51.0,1,1.0,2.0,1.0,F,,1,25.0,1.0,15,,,,,,1.0,6.0,NT,3,20.0,,,,,,,,,,,,,0,Cloudy,34722.0,Non_WZ_Non_CMV,2020/pdf/203125647,"unit 1 was traveling southbound blanchard approaching oakland. while driving past an alley, unit 2, a bicycle, with two adolescent females came out of the alley. unit 1 was unable to stop and unit 2 pulled in front of the passenger side of unit 1 causing an accident. both individuals on unit 2 had minor injuries and were treated at the scene by tfd17. the damage to unit 1 caused a front passenger side tire to go flat.", past adolescent female unable individual tfd tire flat 
1015,203109514,20203109514,https://hsip.dot.state.oh.us/api/report/20203109514,2020,7/1/2020 0:00,6,MFRAMR01505**C,M,FRA,1.009,39.97102,-82.905837,18000,19234.0,7/6/2020 0:00,Property damage only,Pedalcycles,2,N,,Y,N,Local roads,16,0,,501a2b54-9d38-470b-9b58-863789d69ded,1fbb0833-6994-4121-a10f-694bc402e0c5,N,1.009,MFRAMR01505**C,N,Daylight,200496048,4,7,,2,0,2,COLUMBUS,Four-way intersection,W,N,Y,2.0,N,0.008,MR,Y,,N,COLUMBUS,N,,,W,PLYMOUTH,AVE,,,,,N,,S,NAPOLEON,1,,,,AVE,N,N,N,0,,N,,0,Dry,Straight level,,135100.0,N,1.009,24,Y,Left of center,North,West,,M,N,N,N,Data not valid or not provided,2,Utility pole,1,0,25,Making righturn,Cross centerline ? opposite direction of travel,Pedalcycle,Utility pole,,,,None,Stop sign,Right turn,Sport utility vehicle,15,19.0,1,,,1.0,M,5.0,2,,1.0,20,,,,,,1.0,4.0,NT,26,,,,,,,,,,,,,,0,Clear,37368.0,Non_WZ_Non_CMV,2020/pdf/203109514,"unit 01 turned wb onto plymouth ave. from s. napoleon ave. unit 01 drove into the eb lane of plymouth ave., swerved to avoid unit 2, but struck unit 2, and continued off the right side of the roadway and struck a utility pole. unit 1 driver fled the scene after the crash without providing any information to unit 2. unit 1 owner approached officers and advised that her vehicle was involved and unit 1 driver was in her residence. unit 1 driver spoke with officers and stated that unit 2 was in his lane after he negotiated the right hand turn and unit 2 caused the crash. unit 2 stated unit 1 was driving too fast around the turn and crossed into unit 2 lane causing the crash. officer plank spoke with an independent witness who was at the intersection and the witness stated unit 1 crossed over into the left lane. unit 1 was determined to be at fault and was issued a citation.", plymouth plymouth swerve avoid continue utility provide owner advise involve residence speak plank speak independent determined fault issue 
