,Unnamed: 0,OBJECTID,DOCUMENT_NBR,CRASH_REPORT_LINK,CRASH_YR,CRASH_MONTH_YEAR,DISTRICT_NBR,NLFID,NLF_JUR_CD,NLF_COUNTY_CD,COUNTY_LOG_NBR,ODOT_LATITUDE_NBR,ODOT_LONGITUDE_NBR,ODOT_FIPS_CD,AREA_CODE,CRASH_DATE,CRASH_SEVERITY_CD,CRASH_TYPE_CD,DAY_IN_WEEK_CD,DISTRACTED_DRIVER_IND,FACILITY_TYPE_CD,FHWA_RDWY_DEPARTURE_IND,FREEWAY_IND,FUNCTIONAL_CLASS_CD,HOUR_OF_CRASH,INCAPAC_INJURIES_NBR,INTERCHANGE_ID,INTERSECTION_ID_CURRENT,INTERSECTION_LEG_ID,INTERSTATE_IND,INV_LOG_NBR,INV_NLFID,IS_COMMERCIAL_RELATED,LIGHT_COND_PRIMARY_CD,LOCAL_REPORT_NUMBER_ID,MAINTENANCE_AUTHORITY_CD,MONTH_OF_CRASH,NHS_CD,NO_INJURY_REPORTED_NBR,NON_INCAPAC_INJURIES_NBR,NUMBER_OF_UNITS_NBR,ODOT_CITY_VILLAGE_TWP_NME,ODOT_CRASH_LOCATION_CD,ODOT_DIR_FROM_REF_CD,ODOT_DIV_UNDIV_IND,ODOT_INTERSECTION_REL_IND,ODOT_LANES_NBR,ODOT_MAINTAINED_HWY_IND,ODOT_MILES_FROM_REF_NBR,ODOT_REF_ROUTE_PREFIX_CD,ODOT_YOUNG_DRIVER_IND,ODPS_ADDRESS_REFERENCE,ODPS_ALCOHOL_IND,ODPS_CITY_VILLAGE_TWP_NME,ODPS_DRUG_IND,ODPS_LOC_DIR_SUFFIX_CD,ODPS_LOC_IN_WORK_ZONE_CD,ODPS_LOC_ROAD_DIRECTION_CD,ODPS_LOC_ROAD_NME,ODPS_LOC_ROAD_SUFFIX_CD,ODPS_LOC_ROUTE_ID,ODPS_LOC_ROUTE_PREFIX_CD,ODPS_LOC_ROUTE_SUFFIX_CD,ODPS_MILEPOST_REFERENCE,ODPS_MOTORCYCLE_IND,ODPS_REF_DIR_SUFFIX_CD,ODPS_REF_DIRECTION_CD,ODPS_REF_GIVEN,ODPS_REF_POINT_USED_CD,ODPS_REF_ROUTE_ID,ODPS_REF_ROUTE_PREFIX_CD,ODPS_REF_ROUTE_SUFFIX_CD,ODPS_REF_SUFFIX_CD,ODPS_SCHOOL_ZONE_IND,ODPS_SENIOR_DRIVER_IND,ODPS_SPEED_IND,ODPS_TOTAL_FATALITIES_NBR,ODPS_TYPE_OF_WORK_ZONE_CD,ODPS_WORK_ZONE_IND,OPER_ACCESS_CONTROL_CD,POSSIBLE_INJURIES_NBR,ROAD_COND_PRIMARY_CD,ROAD_CONTOUR_CD,SA_RAMP_ID,SA_SEGMENT_ID,SECONDARY_CRASH,STATE_TRUE_LOG_NBR,U1_AGE_NBR,U1_AT_FAULT_IND,U1_CONT_CIR_PRIMARY_CD,U1_DIRECTION_FROM_CD,U1_DIRECTION_TO_CD,U1_DISTRACTED_BY_1_CD,U1_GENDER_CD,U1_IS_ALCOHOL_SUSPECTED,U1_IS_MARIJUANA_SUSPECTED,U1_IS_OTHER_DRUG_SUSPECTED,U1_NON_MOTORIST_LOC_CD,U1_NUMBER_OF_THRU_LANES,U1_OBJECT_STRUCK,U1_ODPS_UNIT_NBR,U1_OPERATINGIN_AUTONOMOUS_MODE,U1_POSTED_SPEED_NBR,U1_PRECRASH_ACTION_CD,U1_SEQ_OF_EVENTS_1_CD,U1_SEQ_OF_EVENTS_2_CD,U1_SEQ_OF_EVENTS_3_CD,U1_SEQ_OF_EVENTS_4_CD,U1_SEQ_OF_EVENTS_5_CD,U1_SEQ_OF_EVENTS_6_CD,U1_SPECIAL_FUNCTION_CD,U1_TRAFFIC_CONTROL_CD,U1_TURN_CD,U1_TYPE_OF_UNIT_CD,U1_UNIT_SPEED_NBR,U2_AGE_NBR,U2_CONT_CIR_PRIMARY_CD,U2_DIRECTION_FROM_CD,U2_DIRECTION_TO_CD,U2_DISTRACTED_BY_1_CD,U2_GENDER_CD,U2_NON_MOTORIST_LOC_CD,U2_ODPS_UNIT_NBR,U2_POSTED_SPEED_NBR,U2_PRECRASH_ACTION_CD,U2_SEQ_OF_EVENTS_1_CD,U2_SEQ_OF_EVENTS_2_CD,U2_SEQ_OF_EVENTS_3_CD,U2_SEQ_OF_EVENTS_4_CD,U2_SEQ_OF_EVENTS_5_CD,U2_SEQ_OF_EVENTS_6_CD,U2_SPECIAL_FUNCTION_CD,U2_TRAFFIC_CONTROL_CD,U2_TURN_CD,U2_TYPE_OF_UNIT_CD,U2_UNIT_SPEED_NBR,U3_CONT_CIR_PRIMARY_CD,U3_ODPS_UNIT_NBR,U3_PRECRASH_ACTION_CD,U3_SEQ_OF_EVENTS_1_CD,U3_SEQ_OF_EVENTS_2_CD,U3_SEQ_OF_EVENTS_3_CD,U3_SEQ_OF_EVENTS_4_CD,U3_SEQ_OF_EVENTS_5_CD,U3_SEQ_OF_EVENTS_6_CD,U3_SPECIAL_FUNCTION_CD,U3_TRAFFIC_CONTROL_CD,U3_TYPE_OF_UNIT_CD,UNRESTRAIN_OCCUPANTS,WEATHER_COND_CD,V1,Filter,fileNames,Narrative,clean_Narrative,Topic,Topic_num
271,745,193101929,20193101929,https://hsip.dot.state.oh.us/api/report/20193101929,2019,5/1/2019 0:00,12,CCUYCR00073**C,C,CUY,2.265,41.538956,-81.45347,35252,17668.0,5/29/2019 0:00,Minor injury suspected,Pedalcycles,4,N,,N,N,Minor arterial roads,13,0,,41deb318-ee0f-473f-8762-41bc3a1707f0,369df353-ae55-40a3-b76f-b9b2e6f19a33,N,2.265,CCUYCR00073**C,N,Daylight,190049,4,5,,1,1,2,HIGHLAND HEIGHTS,Not an intersection,,N,N,4.0,N,0.0,,Y,6245,N,HIGHLAND HEIGHTS,N,,,,WILSON MILLS,RD,,,,,N,,,6245TH,3,,,,,N,N,N,0,,N,,0,Dry,Straight level,,17341.0,N,2.265,0,Y,Failure to yield,North,South,Data not valid or not provided,U,N,N,N,Data not valid or not provided,3,Nothing struck,2,0,0,Straight ahead,Pedalcycle,,,,,,None,No control,No turn,Sport utility vehicle,0,20.0,1,4.0,3.0,1.0,M,8.0,1,,1.0,20,,,,,,,6.0,NT,26,,,,,,,,,,,,,,0,Cloudy,,Non_WZ_Non_CMV,2019/pdf/193101929,"unit 1 was traveling e b wilson mills, on a bicycle, on the side walk. as unit 1 approached the drive to 6199 wilson mills (home depot), a possible silver jeep wrangler (unit 2) pulled out in front and caused unit 1 to strick the passenger tire of unit 2. unit 1 sustained damage to the front tire of the bicycle. driver of unit 1 also sustained a bloody lip but was cleared my hhfd on scene. at this time, unit 2 is unknown", travel e mill bicycle walk approach drive possible jeep wrangl pull cause strick passenger tire sustain damage tire bicycle sustain bloody lip clear hhfd scene time unknown,Bicycle Accidents and Injuries,Bicycle Accidents and Injuries
272,748,193212185,20193212185,https://hsip.dot.state.oh.us/api/report/20193212185,2019,8/1/2019 0:00,8,CHAMCR00101**C,C,HAM,3.292,39.217807,-84.549435,56322,16885.0,8/3/2019 0:00,Minor injury suspected,Pedalcycles,7,N,,N,N,Minor arterial roads,14,0,,fbcb6242-7a56-4e69-a448-43850b316511,110ba1a7-2a46-4526-8b59-76d8397a10b2,N,3.292,CHAMCR00101**C,N,Daylight,2.019E+12,4,8,,1,1,2,NORTH COLLEGE HILL,Four-way intersection,S,N,Y,4.0,N,0.002,US,N,,N,NORTH COLLEGE HILL,N,,,W,GALBRAITH,RD,,,,,N,,,HAMILTON,1,,,,AVE,N,Y,N,0,,N,,0,Dry,Straight level,,26637.0,N,3.292,14,Y,Improper crossing,South,North,,M,N,N,N,Intersection ? marked crosswalk,2,Nothing struck,1,2,25,Other non-motorist,Motor vehicle in transport,,,,,,None,Signal,No turn,Bicycle,0,65.0,1,4.0,3.0,1.0,F,,2,25.0,1.0,15,,,,,,1.0,2.0,NT,3,10.0,,,,,,,,,,,,,0,Cloudy,,Non_WZ_Non_CMV,2019/pdf/193212185,unit 1 was attempting to cross w galbraith rd from the south side of the road and hit the side of unit 2 causing minor damage and injury to the bicycle rider., attempt w rd road hit cause damage injury bicycle rider , Bicycle Strikes on Roads , Bicycle Strikes on Roads 
275,751,193172772,20193172772,https://hsip.dot.state.oh.us/api/report/20193172772,2019,8/1/2019 0:00,3,CWAYCR00601**C,C,WAY,1.601,40.821701,-81.938582,86548,99785.0,8/24/2019 0:00,Minor injury suspected,Pedalcycles,7,N,,N,N,Minor arterial roads,13,0,,40111a83-1c38-477a-95f1-1e8939453b6d,25840917-979c-4504-9f65-1a583241de2a,N,1.601,CWAYCR00601**C,N,Daylight,19-51433,4,8,,1,1,2,WOOSTER,Not an intersection,E,N,N,2.0,N,0.029,,Y,1836,N,WOOSTER,N,,,,BURBANK,RD,,,,,N,,,1836TH,3,,,,,N,Y,N,0,,N,,0,Dry,Straight grade,,43825.0,N,1.601,79,N,Vision obstruction,East,West,,F,N,N,N,Data not valid or not provided,2,Nothing struck,1,2,0,Straight ahead,Pedalcycle,,,,,,None,No control,No turn,Sport utility vehicle,0,21.0,17,1.0,2.0,1.0,F,8.0,2,15.0,1.0,20,,,,,,1.0,6.0,NT,26,,,,,,,,,,,,,,0,Clear,,Non_WZ_Non_CMV,2019/pdf/193172772,unit 2 was on bicycle s/b on sidewalk on s burbank road. unit 2 was pulling out from driveway of 1836 burbank rd. due to large bushes unit 1 could not see unit 2 on sidewalk. unit 1 pulled out and unit 2 struck the front end of unit 1., bicycle s sidewalk s burbank road pull driveway burbank rd large bush sidewalk pull strike end , Bicycle Strikes on Roads , Bicycle Strikes on Roads 
279,761,193136665,20193136665,https://hsip.dot.state.oh.us/api/report/20193136665,2019,7/1/2019 0:00,4,CSTACR00348**C,C,STA,7.013,40.813981,-81.532218,62078,13375.0,7/20/2019 0:00,Minor injury suspected,Pedalcycles,7,N,,N,N,Major collector roads,17,0,,5442fbb0-f504-4713-afc5-ad2ea9ec3b81,b8f6a329-a391-4008-886c-a036f3476b23,N,7.013,CSTACR00348**C,N,Daylight,2019-11237,2,7,,2,1,2,PERRY TOWNSHIP,T-intersection,,N,Y,2.0,N,0.0,TR,N,,N,PERRY TOWNSHIP,N,,,,ORRVILLE,ST,,,,,N,,,EARL,1,,,,RD,N,N,N,0,,N,,0,Dry,Curve grade,,86791.0,N,7.013,47,Y,Ran stop sign,North,East,,M,N,N,N,Intersection ? other,2,Nothing struck,1,2,35,Making leftturn,Motor vehicle in transport,,,,,,None,Stop sign,Left turn,Bicycle,15,59.0,1,3.0,4.0,1.0,F,,2,45.0,1.0,15,,,,,,1.0,6.0,NT,3,15.0,,,,,,,,,,,,,0,Clear,,Non_WZ_Non_CMV,2019/pdf/193136665,unit 1 was traveling on a bicycle south on orrville st nw approaching the stop sign at earl rd nw. unit 2 was traveling west on earl rd nw in the right lane approaching the intersection at orrville st nw. unit 1 was unable to stop on the grade and failed to stop at the stop sign causing unit 2 to collide with unit 1 in the intersection., travel bicycle orrville st nw approach stop sign rd nw travel rd nw right approach intersection orrville st nw unable stop grade fail stop stop sign cause collide intersection ,traffic fails at intersections,traffic fails at intersections
280,762,193154378,20193154378,https://hsip.dot.state.oh.us/api/report/20193154378,2019,7/1/2019 0:00,12,CCUYCR00044**C,C,CUY,1.338,41.591559,-81.526776,25704,17668.0,7/10/2019 0:00,Minor injury suspected,Pedalcycles,4,Y,,N,N,Minor arterial roads,15,0,,3fa8d7bd-6b88-4fbe-885a-8d615bad90d3,a930d1d0-2cc7-4918-b3d6-c4569e4ad38a,N,1.338,CCUYCR00044**C,N,Daylight,1990832,4,7,,1,1,2,EUCLID,T-intersection,,N,Y,2.0,N,0.0,MR,Y,,N,EUCLID,N,,,E,222ND,ST,,,,,N,,,ARMS,1,,,,AVE,N,Y,N,0,,N,,0,Dry,Straight level,,11911.0,N,1.338,68,Y,Other improper action,East,West,Passenger,M,N,N,N,Data not valid or not provided,3,Nothing struck,1,2,25,Straight ahead,Pedalcycle,,,,,,None,Stop sign,No turn,Sport utility vehicle,2,15.0,1,1.0,2.0,1.0,M,1.0,2,35.0,20.0,20,,,,,,1.0,2.0,NT,26,,,,,,,,,,,,,,0,Clear,,Non_WZ_Non_CMV,2019/pdf/193154378,"unit #1 was stopped at a stop sign at the intersection of arms avenue and e. 222 street, when it proceeded west into the crosswalk and struck unit #2. unit #2 was southbound on e. 222 street and entered the marked crosswalk at arms avenue when it was struck.", stop stop sign intersection arm avenue e street proceed crosswalk strike southbound e enter mark crosswalk arm avenue strike ,Intersections and signs,Intersections and signs
282,764,193156103,20193156103,https://hsip.dot.state.oh.us/api/report/20193156103,2019,8/1/2019 0:00,12,CCUYCR00052**C,C,CUY,1.096,41.433462,-81.880177,56882,17668.0,8/5/2019 0:00,Minor injury suspected,Pedalcycles,2,N,,N,N,Minor arterial roads,11,0,,,,N,1.096,CCUYCR00052**C,N,Daylight,T77185,4,8,,1,1,2,NORTH OLMSTED,Driveway/alley access,,N,N,2.0,N,0.0,,N,3785,N,NORTH OLMSTED,N,,,,CLAGUE,RD,,,,,N,,,,3,,,,,N,Y,N,0,,N,,0,Dry,Straight level,,19418.0,N,1.096,69,N,Other improper action,North,South,,M,N,N,N,Sidewalk,3,Nothing struck,1,2,35,Other non-motorist,Motor vehicle in transport,Overturn/rollover,Overturn/rollover,Overturn/rollover,Overturn/rollover,Overturn/rollover,None,No control,No turn,Bicycle,1,48.0,99,3.0,2.0,1.0,M,,2,35.0,99.0,15,,,,,,1.0,6.0,LT,3,3.0,,,,,,,,,,,,,0,Clear,,Non_WZ_Non_CMV,2019/pdf/193156103,"unit # 1 (bicycle) was traveling southbound on the sidewalk area, between lorain rd and summerland dr. unit # 2 was attempting to exit the parking lot at 3875 clague rd. unit # 2 stopped before the sidewalk area. unit # 1 stopped at the driveway to 3875 clague rd. unit # 2 proceeded to cross the sidewalk, unit # 1 proceeded southbound. unit # 2 struck unit # 1.", travel southbound sidewalk area lorain rd summerland dr attempt exit parking lot clague rd stop sidewalk area stop driveway clague rd proceed sidewalk proceed southbound strike ,Accidents on Sidewalks and Driveways,Accidents on Sidewalks and Driveways
283,765,193156677,20193156677,https://hsip.dot.state.oh.us/api/report/20193156677,2019,8/1/2019 0:00,12,MCUYMR06766**C,M,CUY,0.05,41.438127,-81.5954,29428,17668.0,8/9/2019 0:00,Property damage only,Pedalcycles,6,N,,N,N,Local roads,18,0,,bb1ce1be-67b2-440f-b7e1-02c3a15d3753,0885af39-297f-4b82-8d30-ef1135707f6e,N,0.05,MCUYMR06766**C,N,Dawn/dusk,20192776,4,8,,3,0,2,GARFIELD HEIGHTS,Not an intersection,,N,N,2.0,N,0.0,,N,12513,N,GARFIELD HEIGHTS,N,,,,MAPLEROW,AVE,,,,,N,,,12513TH,3,,,,,N,Y,N,0,,N,,0,Dry,Straight level,,161723.0,N,0.05,0,Y,Failure to yield,North,South,,M,N,N,N,Driveway access,2,Nothing struck,2,2,0,Straight ahead,Motor vehicle in transport,,,,,,None,No control,No turn,Bicycle,0,85.0,1,3.0,4.0,1.0,M,,1,25.0,1.0,24,,,,,,1.0,6.0,NT,3,7.0,,,,,,,,,,,,,0,Clear,,Non_WZ_Non_CMV,2019/pdf/193156677,"unit 1 traveled n/b on east 126th and stopped at the stop sign. as unit 1 turned w/b on maplerow ave. unit 2 traveled s/b down the driveway of 12513 maplerow ave, failed to yield and struck unit 1 in the mid right back. unit 2 left the scene.", travel stop stop sign turn w maplerow ave travel s driveway maplerow ave fail yield strike mid right leave scene ,traffic fails at intersections,traffic fails at intersections
285,767,193158032,20193158032,https://hsip.dot.state.oh.us/api/report/20193158032,2019,8/1/2019 0:00,6,MFRAMR00823**C,M,FRA,0.276,39.954084,-83.050353,18000,19234.0,8/12/2019 0:00,Property damage only,Pedalcycles,2,N,,N,N,Local roads,18,0,,9f79bd0d-c630-40c5-a494-9f90e7879590,307f3d46-4be9-4c91-afdf-ac98cc444987,N,0.276,MFRAMR00823**C,N,Daylight,190673221,4,8,,3,0,2,COLUMBUS,Not an intersection,N,N,N,2.0,N,0.014,MR,N,,N,COLUMBUS,N,,,,Fairmont,AVE,,,,,N,,,Floral,1,,,,AVE,N,N,N,0,,N,,0,Dry,Straight level,,92165.0,N,0.276,0,Y,Failure to yield,East,West,Other / unknown,M,N,N,N,Other / unknown,2,Nothing struck,1,2,0,Straight ahead,Motor vehicle in transport,,,,,,None,No control,No turn,Bicycle,15,30.0,1,1.0,2.0,1.0,F,,2,,11.0,15,,,,,,13.0,6.0,NT,3,2.0,,,,,,,,,,,,,0,Clear,,Non_WZ_Non_CMV,2019/pdf/193158032,"crash involving police personnel.the driver and occupant of unit 2 stated that they were traveling through the parking lot of 1925 w. broad st when a male black approximately 8 years old on a green bicycle (unit 1) struck the driver side of unit 2, leaving a scratch on unit 2's driver side. the driver and occupant of unit 2 stated that the driver of unit 1 fell on the ground after striking unit 2, immediately got up, and ran away from the scene. the driver of unit 1 could not be located or identified. there were no reported injuries as a result of the collision.",crash involve police personnelthe occupant state travel parking lot w broad st male approximately year old bicycle strike leave scratch occupant state fall ground strike immediately get run away scene locate identify report injury result collision ,Bicycle Accident Cases,Bicycle Accident Cases
294,818,195166428,20195166428,https://hsip.dot.state.oh.us/api/report/20195166428,2019,8/1/2019 0:00,9,SROSSR00104**C,S,ROS,14.458,39.34988,-82.997011,70898,99713.0,8/17/2019 0:00,Minor injury suspected,Pedalcycles,7,N,Two-way roadway,N,N,Minor arterial roads,10,0,,f7deda94-c9f5-4fee-ae02-2d1ebd9f9c02,eb4bc9a0-d650-484f-9cec-d0abb1d4bab9,N,14.458,SROSSR00104**C,N,Daylight,71-1096-71,1,8,,2,1,2,SCIOTO TOWNSHIP,5 or more point intersection,E,Y,Y,4.0,Y,0.002,RA,N,,N,UNION TOWNSHIP,N,,,,,,104,SR,,,N,,,,1,35,US,,,N,Y,N,0,,N,1.0,0,Dry,Straight level,,175153.0,N,49.248,27,Y,Wrong way,South,North,,M,N,N,N,Shoulder / roadside,2,Nothing struck,1,2,55,Straight ahead,Motor vehicle in transport,,,,,,None,Signal,No turn,Bicycle,4,79.0,1,4.0,1.0,1.0,F,,2,55.0,6.0,15,,,,,,1.0,2.0,LT,3,5.0,,,,,,,,,,,,,0,Clear,,Non_WZ_Non_CMV,2019/pdf/195166428,unit #1 was traveling northbound on state route 104 on a bicycle. unit #2 was turning northbound onto state route 104 from the us 35 eastbound exit ramp when unit #1 struck unit #2., travel northbound state route bicycle turn northbound state route eastbound exit ramp strike , Bicycle Strikes on Roads , Bicycle Strikes on Roads 
295,819,195173708,20195173708,https://hsip.dot.state.oh.us/api/report/20195173708,2019,8/1/2019 0:00,4,STRUSR00088**C,S,TRU,11.274,41.390843,-80.788642,48678,99999.0,8/21/2019 0:00,Serious injury suspected,Pedalcycles,4,N,Two-way roadway,N,N,Minor arterial roads,20,1,,f66c0454-73bd-474c-8e11-8d26396b1b2b,24cf925c-28f0-45d1-b5fa-0d6d8819e461,N,11.274,STRUSR00088**C,N,Dark - roadway not lighted,78-0755-78,1,8,,2,0,2,MECCA TOWNSHIP,Not an intersection,E,N,N,2.0,Y,0.3,,Y,,N,MECCA TOWNSHIP,N,,,,,,88,SR,,11.0,N,,,11,2,,,,,N,N,N,0,,N,3.0,0,Dry,Straight level,,185858.0,N,34.084,13,Y,Improper turn,West,North,Other / unknown,M,N,N,N,Travel lane ? other location,2,Nothing struck,1,2,55,Making leftturn,Motor vehicle in transport,Overturn/rollover,,,,,None,No control,Left turn,Bicycle,0,21.0,1,4.0,3.0,1.0,F,,2,55.0,1.0,15,,,,,,1.0,6.0,NT,3,55.0,,,,,,,,,,,,,0,Cloudy,,Non_WZ_Non_CMV,2019/pdf/195173708,unit #1 and unit #2 were eastbound on state route 88. unit #1 was riding a bicycle near the right shoulder. unit #2 began to pass unit #1. unit #1 made a left turn in front of unit #2 and was struck. the rider of unit #1 was fully ejected and unit #1 overturned onto its side., eastbound state route ride bicycle near right shoulder begin pass leave turn strike fully eject overturn , Bicycle Strikes on Roads , Bicycle Strikes on Roads 
301,828,196127844,20196127844,https://hsip.dot.state.oh.us/api/report/20196127844,2019,7/1/2019 0:00,12,SCUYUS00006*AC,S,CUY,0.853,41.48233,-81.82666,41664,17668.0,7/1/2019 0:00,Injury possible,Pedalcycles,2,N,Two-way roadway,N,N,Minor arterial roads,8,0,,e0b3b821-1c9a-420e-a9a7-d9ce2917571e,19d6a190-2aff-42df-a84f-ce91500efec6,N,0.853,SCUYUS00006*AC,N,Daylight,19-002251,4,7,,1,0,2,LAKEWOOD,Four-way intersection,,N,Y,4.0,N,0.0,MR,N,,N,LAKEWOOD,N,,,,RIVERSIDE,DR,,,,,N,,,,1,6,US,A,,N,N,N,0,,N,3.0,1,Dry,Straight level,,315935.0,N,0.853,58,Y,Failure to yield,South,North,,M,N,N,N,Data not valid or not provided,2,Nothing struck,1,0,25,Straight ahead,Pedalcycle,,,,,,None,Signal,No turn,Sport utility vehicle,15,14.0,1,3.0,4.0,1.0,F,1.0,2,10.0,99.0,20,,,,,,1.0,2.0,NT,26,10.0,,,,,,,,,,,,,0,Clear,,Non_WZ_Non_CMV,2019/pdf/196127844,"unit #1 stopped at a red light, then proceeded to enter the intersection to make a right turn. unit #1 struck unit #2 which was crossing riverside dr. on a bicycle, in the crosswalk.", stop red light proceed enter intersection right turn strike crossing riverside dr bicycle crosswalk ,Stop and Turn Accidents Involving Bicycles,Stop and Turn Accidents Involving Bicycles
302,829,196133081,20196133081,https://hsip.dot.state.oh.us/api/report/20196133081,2019,7/1/2019 0:00,11,CTUSCR00074**C,C,TUS,4.997,40.554929,-81.496411,22456,99723.0,7/8/2019 0:00,Minor injury suspected,Pedalcycles,2,N,,N,N,Minor arterial roads,9,0,,02c29c3d-dd64-489d-82f0-c836a31c7718,d2ff7f48-c8a9-45c8-9c06-1430fe1ccb09,N,4.997,CTUSCR00074**C,N,Daylight,19-6457,4,7,,1,1,2,DOVER,5 or more point intersection,,N,Y,2.0,N,0.0,MR,N,,N,DOVER,N,,,N,Wooster,AVE,,,,,N,,,Deeds,1,,,,DR,N,N,N,0,,N,,0,Dry,Straight level,,19041.0,N,4.997,52,Y,None,North,South,,M,N,N,N,Intersection ? unmarked crosswalk,6,Nothing struck,2,2,35,Straight ahead,Motor vehicle in transport,,,,,,None,No control,No turn,Bicycle,5,47.0,4,4.0,2.0,1.0,F,,1,35.0,5.0,15,,,,,,1.0,4.0,RT,3,5.0,,,,,,,,,,,,,0,Clear,,Non_WZ_Non_CMV,2019/pdf/196133081,unit #1 was a bicyclist driving south bound on north wooster ave. unit #2 ran a stop sign at the intersection of deeds dr. and north wooster ave. unit #2 struck unit #1. unit #1 advised he recently had shoulder surgery and that his shoulder hurt. he said he wanted to be seen by dover ems. unit #1 was transported to union hospital. unit #2 was issued a citation for running a stop sign., bicyclist drive bind wooster ave run stop sign intersection deed dr wooster ave strike advise recently shoulder surgery shoulder hurt say want see ems transport union hospital issue citation run stop sign , Bicycle Strikes on Roads , Bicycle Strikes on Roads 
303,830,196133635,20196133635,https://hsip.dot.state.oh.us/api/report/20196133635,2019,6/1/2019 0:00,11,MTUSMR00748**C,M,TUS,0.337,40.390481,-81.358872,78176,99723.0,6/19/2019 0:00,Minor injury suspected,Pedalcycles,4,N,,N,N,Local roads,13,0,,,,N,0.337,MTUSMR00748**C,N,Daylight,06191306 2019,4,6,,1,1,2,UHRICHSVILLE,Not an intersection,,N,Y,2.0,N,0.0,,N,237,N,UHRICHSVILLE,N,,,,MCCONNELL,ST,,,,,N,,,,3,,,,,N,N,N,0,,N,,0,Dry,Straight level,,98938.0,N,0.337,8,Y,Failure to yield,East,West,Other distraction outside the vehicle,M,N,N,N,Intersection ? other,2,Nothing struck,1,2,15,Entering traffic lane,Motor vehicle in transport,,,,,,None,No control,No turn,Bicycle,0,41.0,1,1.0,2.0,1.0,F,,2,25.0,1.0,15,,,,,,1.0,6.0,NT,3,20.0,,,,,,,,,,,,,0,Clear,,Non_WZ_Non_CMV,2019/pdf/196133635,"unit #1 (8 year old bicyclist) was traveling w/b in an alley adjacent to 237 mcconnell st. and did fail to yield before entering mcconnell st. unit #2 was traveling s/b on mcconnell st. in the 200 blk.unit #2 observed unit #1 at the last moment and applied the brakes and it is suspected that the right front of unit #1's bumper made contact with unit #1's rear wheel, causing unit #1 to lose control and become ejected from the bicycle. it was determined that unit #1 did not have any functional brakes.", travel w adjacent st fail yield enter st travel s st blk observed moment apply brake suspect right bumper contact rear wheel cause lose control eject bicycle determine functional brake ,Bicycle Accidents and Injuries,Bicycle Accidents and Injuries
304,831,196137928,20196137928,https://hsip.dot.state.oh.us/api/report/20196137928,2019,6/1/2019 0:00,12,CCUYCR00066**C,C,CUY,4.304,41.477256,-81.800322,41664,17668.0,6/28/2019 0:00,Property damage only,Pedalcycles,6,N,,N,N,Minor arterial roads,21,0,,76ae2659-df3a-4f71-aceb-d1294833c719,62f719e3-5214-49c5-bcac-ff42d8fb69dd,N,4.304,CCUYCR00066**C,N,Dark - lighted roadway,19-002218,4,6,,2,0,2,LAKEWOOD,Four-way intersection,,N,Y,4.0,N,0.0,CR,Y,,N,LAKEWOOD,N,,,,Madison,AVE,,,,,N,,,Warren,1,,,,WAY,N,N,N,0,,N,,0,Dry,Straight level,,14886.0,N,4.304,48,Y,Failure to yield,West,South,,M,N,N,N,Data not valid or not provided,3,Nothing struck,1,2,25,Making righturn,Pedalcycle,,,,,,None,Signal,Right turn,Sport utility vehicle,10,23.0,1,2.0,1.0,1.0,M,1.0,2,,20.0,20,,,,,,1.0,2.0,NT,26,,,,,,,,,,,,,,0,Cloudy,,Non_WZ_Non_CMV,2019/pdf/196137928,unit #2 was northbound on warren approaching the intersection of madison. as unit #2 was entering the crosswalk the operator observed unit #1 eastbound on madison. unit #1 was starting to turn southbound on warren. operator of unit #2 saw unit #1 was not stopping so he jumped off his bicycle to avoid being injured in the collision., northbound approach intersection madison enter crosswalk operator observe eastbound madison starting turn southbound warren operator saw stop jump bicycle avoid injure collision ,Intersection Accidents and Bicycles,Intersection Accidents and Bicycles
307,835,196159633,20196159633,https://hsip.dot.state.oh.us/api/report/20196159633,2019,8/1/2019 0:00,8,,M,HAM,,39.263556,-84.415285,25802,,8/14/2019 0:00,Injury possible,Pedalcycles,4,N,One way roadway,N,N,,11,0,,,,N,,,N,Daylight,AA19-343,80,8,,1,0,2,EVENDALE,Not an intersection,,Y,N,2.0,N,0.0,,N,10800,N,EVENDALE,N,,,,,,42,,,,N,,,,3,,,,,N,Y,N,0,,N,,1,Dry,Straight level,,,N,,67,Y,Failure to yield,East,North,,M,N,N,N,Data not valid or not provided,2,Nothing struck,1,2,45,Making righturn,Pedalcycle,,,,,,None,No control,Right turn,Sport utility vehicle,3,71.0,1,1.0,2.0,1.0,M,8.0,2,,99.0,20,,,,,,1.0,6.0,NT,26,10.0,,,,,,,,,,,,,0,Clear,,Non_WZ_Non_CMV,2019/pdf/196159633,unit#1 was attempting to enter northbound us 42 (reading rd) from the common driveway entrance of 10800 us 42. the driver looked to northbound traffic which was clear and proceeded to enter northbound us 42. the driver of unit #1 failed to see or yield the right of way to unit #2 which was traveling southbound on the sidewalk. the driver of unit #2 went airborne up onto the hood of unit #1 coming to final rest on the pavement., attempt enter northbound common driveway entrance look northbound traffic clear proceed enter northbound fail yield right travel southbound sidewalk go airborne come final rest pavement ,Crossing Accidents ,Crossing Accidents 
